"ALU_NOVAMATRICULA","ALU_ANO_EVASA","ALU_PERIODO_EVASAO","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","CREDITOS","MAT_MEDIA_FINAL"
"b050b32472d3681f701bbc20fdd78872",2014,2,1411168,"Programação II",4,7.4
"b050b32472d3681f701bbc20fdd78872",2014,2,1411170,"Teoria dos Grafos",2,7.3
"b050b32472d3681f701bbc20fdd78872",2014,2,1411181,"Laboratório de Programação II",4,8.6
"b050b32472d3681f701bbc20fdd78872",2014,2,1109049,"Álgebra Linear I",4,7.3
"b050b32472d3681f701bbc20fdd78872",2014,2,1109053,"Cálculo Diferencial e Integral II",4,7.3
"b050b32472d3681f701bbc20fdd78872",2014,2,1411172,"Estrutura de Dados e Algoritmos",4,6.1
"b050b32472d3681f701bbc20fdd78872",2014,2,1411176,"Gerência da Informação",4,8.4
"b050b32472d3681f701bbc20fdd78872",2014,2,1411179,"Lab. de Estrutura de Dados e Algoritmos",4,9.5
"b050b32472d3681f701bbc20fdd78872",2014,2,1305219,"Direito e Cidadania",4,8.4
"b050b32472d3681f701bbc20fdd78872",2014,2,1108090,"Fundamentos de Física Moderna",4,8.7
"b050b32472d3681f701bbc20fdd78872",2014,2,1114107,"Probabilidade e Estatistica",4,5
"b050b32472d3681f701bbc20fdd78872",2014,2,1411171,"Teoria da Computação",4,5.4
"b050b32472d3681f701bbc20fdd78872",2014,2,1411178,"Sistemas de Informação I",4,9
"b050b32472d3681f701bbc20fdd78872",2014,2,1114114,"Métodos Estatisticos",4,7.1
"b050b32472d3681f701bbc20fdd78872",2014,2,1411169,"Paradigmas de Ling. de Programação",4,7
"b050b32472d3681f701bbc20fdd78872",2014,2,1411173,"Lógica Matemática",4,6.1
